iter	Passed	Remaining
0	0	80
1	1	74
2	2	71
3	2	67
4	3	66
5	4	65
6	4	63
7	5	62
8	6	61
9	6	60
10	7	59
11	7	58
12	8	57
13	9	56
14	9	55
15	10	55
16	11	55
17	12	55
18	12	54
19	13	53
20	14	53
21	14	52
22	15	51
23	16	51
24	17	52
25	18	52
26	19	52
27	20	52
28	21	52
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	25	48
35	26	47
36	27	46
37	27	45
38	28	44
39	28	43
40	30	43
41	31	43
42	32	43
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	37	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	9
86	62	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
